NOC,Obs_Years,lag1_coeff,lag1_pvalue,lag2_coeff,lag2_pvalue,lag3_coeff,lag3_pvalue
Algeria,5.0,1.056741628078731,8.808114022208929e-07,-0.6290742920954907,0.033499783807317274,0.46565644855021454,0.009267190033406196
Argentina,18.0,0.3779320896414325,0.061801244972020115,-0.091017544808761,0.44327670930061147,0.5019991332092082,0.012658840779680915
Armenia,4.0,1.1328588901068661,1.7929004098387675e-06,0.5930821242420499,0.038812395871309746,-0.9830228417943814,0.00013752677120298763
Australia,25.0,0.5937837618033943,0.09081455005084291,0.10597923995609271,0.7180432357172948,-0.17491076593346186,0.570343478913097
Austria,24.0,1.4263731130085844,0.14080630249030734,-0.7232955637368025,0.5921935170842869,0.24057126058369982,0.6364128869292671
Azerbaijan,5.0,0.028537731498121128,0.9644058464331636,-1.7084211545313988,0.017559938415383343,2.9502482493941278,1.5484826322574295e-21
Bahamas,7.0,0.588599123419141,0.31871204795621133,-0.10917959223269537,0.8592184884670693,0.6167330574402977,0.012050427158228625
Belarus,4.0,0.9619272427035848,0.22988813535144803,0.4959220736937686,0.7190090293418118,-0.5454797699620585,0.46887718200919504
Belgium,25.0,0.9995354505257679,2.488397124253167e-51,-0.7211684242184824,6.419429087577216e-19,0.3947567345746068,5.696109532641565e-21
Brazil,18.0,0.4746678522720421,0.09565724268229497,0.13182833902346883,0.672451836031219,0.5700266709282542,0.018375721525349234
Bulgaria,15.0,0.9336390524828652,0.07564596553194493,0.06040365872668928,0.9072938286169474,-0.12116690571129886,0.8071827536780913
Cameroon,3.0,2.9062218222137437,0.0,-1.4400057134430988,0.0,-1.0822942264765147,0.0
Canada,25.0,0.14773150105660396,0.5396973106921567,-0.04054787448099293,0.9123811094762948,0.028425278416601828,0.9283614397200123
Chile,5.0,0.061582518953526115,0.9479973535793864,-0.037674266978049854,0.908709508741858,0.4684352641923546,0.22456675113058333
China,8.0,0.34921218575065616,0.7056237030681154,-0.10283680504301386,0.8877569282989881,0.24493490379598612,0.894078089445236
Chinese Taipei,7.0,0.7995373922539633,0.21879521076389397,-0.6788881387657454,0.7233145503874996,1.2000639968294229,0.39622571469991463
