NOC,Event,MedalCount,TeamCount,PeopleCount,MedalRatio
AFG,10m Air Pistol Men,0,0.0,0.0,0.0
AFG,Boxing Men's Middleweight,0,0.0,0.0,0.0
AFG,Women,0,0.0,0.0,0.0
AFG,Boxing Men's Lightweight,0,1.0,1.0,0.0
AFG,Women +67kg,0,0.0,0.0,0.0
AFG,Boxing Men's Light-Welterweight,0,0.0,0.0,0.0
AFG,Women +78 kg,0,0.0,0.0,0.0
AFG,Women -48 kg,0,0.0,0.0,0.0
AFG,Boxing Men's Light-Middleweight,0,0.0,0.0,0.0
AFG,Women -49kg,0,0.0,0.0,0.0
AFG,Boxing Men's Light-Heavyweight,0,0.0,0.0,0.0
AFG,Women -52 kg,0,0.0,0.0,0.0
AFG,Boxing Men's Light-Flyweight,0,0.0,0.0,0.0
AFG,Women -57 kg,0,0.0,0.0,0.0
AFG,Boxing Men's Heavyweight,0,0.0,0.0,0.0
AFG,Women -57kg,0,0.0,0.0,0.0
AFG,Boxing Men's Flyweight,0,1.0,1.0,0.0
AFG,Women -63 kg,0,0.0,0.0,0.0
AFG,Boxing Men's Featherweight,0,1.0,1.0,0.0
AFG,Women -67kg,0,0.0,0.0,0.0
AFG,Boxing Men's Bantamweight,0,1.0,1.0,0.0
AFG,Women -70 kg,0,0.0,0.0,0.0
AFG,Beach Volleyball Women's Beach Volleyball,0,0.0,0.0,0.0
AFG,Women -78 kg,0,0.0,0.0,0.0
AFG,Beach Volleyball Men's Beach Volleyball,0,0.0,0.0,0.0
AFG,Women Team,0,0.0,0.0,0.0
AFG,Basque Pelota Men's Two-Man Teams With Cesta,0,0.0,0.0,0.0
AFG,Women's +81kg,0,0.0,0.0,0.0
AFG,Weightlifting Women's Super-Heavyweight,0,0.0,0.0,0.0
AFG,Boxing Men's Super-Heavyweight,0,0.0,0.0,0.0
AFG,Weightlifting Women's Middleweight,0,0.0,0.0,0.0
AFG,Boxing Men's Welterweight,0,1.0,1.0,0.0
AFG,Weightlifting Men's Heavyweight,0,0.0,0.0,0.0
AFG,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",0,0.0,0.0,0.0
AFG,Weightlifting Men's Heavyweight I,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, Slalom",0,0.0,0.0,0.0
AFG,Weightlifting Men's Heavyweight II,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 500 metres",0,0.0,0.0,0.0
AFG,Weightlifting Men's Light-Heavyweight,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 200 metres",0,0.0,0.0,0.0
AFG,Weightlifting Men's Lightweight,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 10,000 metres",0,0.0,0.0,0.0
AFG,Weightlifting Men's Middle-Heavyweight,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 1,000 metres",0,0.0,0.0,0.0
AFG,Weightlifting Men's Middleweight,0,0.0,0.0,0.0
AFG,Women's +87kg,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Doubles, Slalom",0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Doubles, 500 metres",0,0.0,0.0,0.0
AFG,"Weightlifting Men's Unlimited, One Hand",0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Doubles, 10,000 metres",0,0.0,0.0,0.0
AFG,"Weightlifting Men's Unlimited, Two Hands",0,0.0,0.0,0.0
AFG,Weightlifting Women's Featherweight,0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Doubles, 1,000 metres",0,0.0,0.0,0.0
AFG,Weightlifting Women's Flyweight,0,0.0,0.0,0.0
AFG,Boxing Women's Middleweight,0,0.0,0.0,0.0
AFG,Weightlifting Women's Heavyweight,0,0.0,0.0,0.0
AFG,Boxing Women's Lightweight,0,0.0,0.0,0.0
AFG,Weightlifting Women's Light-Heavyweight,0,0.0,0.0,0.0
AFG,Boxing Women's Flyweight,0,0.0,0.0,0.0
AFG,Weightlifting Women's Lightweight,0,0.0,0.0,0.0
AFG,Weightlifting Men's Super-Heavyweight,0,0.0,0.0,0.0
AFG,Basketball Women's Basketball,0,0.0,0.0,0.0
AFG,"Women's 10,000m",0,0.0,0.0,0.0
AFG,Basketball Men's Basketball,0,0.0,0.0,0.0
AFG,Women's 20km Race Walk,0,0.0,0.0,0.0
AFG,Athletics Women's Javelin Throw,0,0.0,0.0,0.0
AFG,Women's 3000m Steeplechase,0,0.0,0.0,0.0
AFG,Athletics Women's High Jump,0,0.0,0.0,0.0
AFG,Women's 3m Springboard,0,0.0,0.0,0.0
AFG,Athletics Women's Heptathlon,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Freestyle Relay,0,0.0,0.0,0.0
AFG,Athletics Women's Hammer Throw,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Freestyle Relay Team,0,0.0,0.0,0.0
AFG,Athletics Women's Discus Throw,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Medley Relay,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Medley Relay Team,0,0.0,0.0,0.0
AFG,Athletics Women's 800 metres,0,0.0,0.0,0.0
AFG,Athletics Women's Long Jump,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Relay,0,0.0,0.0,0.0
AFG,Women's 4 x 100m Relay Team,0,0.0,0.0,0.0
AFG,"Athletics Women's 5,000 metres",0,0.0,0.0,0.0
AFG,Women's 4 x 200m Freestyle Relay,0,0.0,0.0,0.0
AFG,Athletics Women's 400 metres Hurdles,0,0.0,0.0,0.0
AFG,Women's 4 x 200m Freestyle Relay Team,0,0.0,0.0,0.0
AFG,Athletics Women's 400 metres,0,0.0,0.0,0.0
AFG,Women's 4 x 400m Relay,0,0.0,0.0,0.0
AFG,Athletics Women's 4 x 400 metres Relay,0,0.0,0.0,0.0
AFG,Women's 4 x 400m Relay Team,0,0.0,0.0,0.0
AFG,Athletics Women's 4 x 100 metres Relay,0,0.0,0.0,0.0
AFG,Women's 400m,0,0.0,0.0,0.0
AFG,"Athletics Women's 3,000 metres Steeplechase",0,0.0,0.0,0.0
AFG,Women's 400m Freestyle,0,0.0,0.0,0.0
AFG,Athletics Women's 80 metres Hurdles,0,0.0,0.0,0.0
AFG,"Canoeing Men's Folding Kayak Singles, 10 kilometres",0,0.0,0.0,0.0
AFG,Women's 200m Individual Medley,0,0.0,0.0,0.0
AFG,Women's 200m Freestyle,0,0.0,0.0,0.0
AFG,Women's 100m,0,1.0,1.0,0.0
AFG,Baseball Team,0,0.0,0.0,0.0
